08-13 00:34 INFO     Initialising repertoire with random population
08-13 00:37 INFO     Repertoire Metrics
08-13 00:37 INFO     Total quality -58.53780672168187
08-13 00:37 INFO     Max quality -0.08298588055258599
08-13 00:37 INFO     Max quality bin (49, 50)
08-13 00:37 INFO     Min quality -1.786388965156039
08-13 00:37 INFO     Min quality bin (44, 45)
08-13 00:37 INFO     Number of genomes in the container 118
08-13 00:37 INFO     Mean quality -0.4960831078108633

08-13 00:37 INFO     Iteration 1
08-13 00:38 INFO     Repertoire Metrics
08-13 00:38 INFO     Total quality -77.01408492123667
08-13 00:38 INFO     Max quality -0.057696236028134396
08-13 00:38 INFO     Max quality bin (49, 49)
08-13 00:38 INFO     Min quality -1.786388965156039
08-13 00:38 INFO     Min quality bin (44, 45)
08-13 00:38 INFO     Number of genomes in the container 156
08-13 00:38 INFO     Mean quality -0.49368003154638895

08-13 00:38 INFO     Number of better genomes found in this iteration 20
08-13 00:38 INFO     Total quality increase by better genomes in this iteration 3.234097040641828
08-13 00:38 INFO     Normalised quality increase by better genomes in this iteration 0.1617048520320914
08-13 00:38 INFO     Number of new genomes added in this iteration 38

08-13 00:38 INFO     Iteration 2
08-13 00:39 INFO     Repertoire Metrics
08-13 00:39 INFO     Total quality -102.46523995767022
08-13 00:39 INFO     Max quality -0.057696236028134396
08-13 00:39 INFO     Max quality bin (49, 49)
08-13 00:39 INFO     Min quality -1.786388965156039
08-13 00:39 INFO     Min quality bin (44, 45)
08-13 00:39 INFO     Number of genomes in the container 197
08-13 00:39 INFO     Mean quality -0.5201281216125392

08-13 00:39 INFO     Number of better genomes found in this iteration 20
08-13 00:39 INFO     Total quality increase by better genomes in this iteration 2.2044913028120545
08-13 00:39 INFO     Normalised quality increase by better genomes in this iteration 0.11022456514060272
08-13 00:39 INFO     Number of new genomes added in this iteration 41

08-13 00:39 INFO     Saving repertoire for iteration 2

08-13 00:39 INFO     Iteration 3
08-13 00:40 INFO     Repertoire Metrics
08-13 00:40 INFO     Total quality -115.94938477374808
08-13 00:40 INFO     Max quality -0.057696236028134396
08-13 00:40 INFO     Max quality bin (49, 49)
08-13 00:40 INFO     Min quality -1.786388965156039
08-13 00:40 INFO     Min quality bin (44, 45)
08-13 00:40 INFO     Number of genomes in the container 225
08-13 00:40 INFO     Mean quality -0.5153305989944359

08-13 00:40 INFO     Number of better genomes found in this iteration 20
08-13 00:40 INFO     Total quality increase by better genomes in this iteration 2.234905210592429
08-13 00:40 INFO     Normalised quality increase by better genomes in this iteration 0.11174526052962146
08-13 00:40 INFO     Number of new genomes added in this iteration 28

08-13 00:40 INFO     Iteration 4
08-13 00:41 INFO     Repertoire Metrics
08-13 00:41 INFO     Total quality -137.174338983243
08-13 00:41 INFO     Max quality -0.057696236028134396
08-13 00:41 INFO     Max quality bin (49, 49)
08-13 00:41 INFO     Min quality -1.786388965156039
08-13 00:41 INFO     Min quality bin (44, 45)
08-13 00:41 INFO     Number of genomes in the container 255
08-13 00:41 INFO     Mean quality -0.5379385842480118

08-13 00:41 INFO     Number of better genomes found in this iteration 17
08-13 00:41 INFO     Total quality increase by better genomes in this iteration 2.134495476226826
08-13 00:41 INFO     Normalised quality increase by better genomes in this iteration 0.1255585574251074
08-13 00:41 INFO     Number of new genomes added in this iteration 30

08-13 00:41 INFO     Saving repertoire for iteration 4

08-13 00:41 INFO     Iteration 5
08-13 00:42 INFO     Repertoire Metrics
08-13 00:42 INFO     Total quality -161.01184171560007
08-13 00:42 INFO     Max quality -0.057696236028134396
08-13 00:42 INFO     Max quality bin (49, 49)
08-13 00:42 INFO     Min quality -1.786388965156039
08-13 00:42 INFO     Min quality bin (44, 45)
08-13 00:42 INFO     Number of genomes in the container 293
08-13 00:42 INFO     Mean quality -0.5495284700191129

08-13 00:42 INFO     Number of better genomes found in this iteration 15
08-13 00:42 INFO     Total quality increase by better genomes in this iteration 1.2977507462277804
08-13 00:42 INFO     Normalised quality increase by better genomes in this iteration 0.08651671641518537
08-13 00:42 INFO     Number of new genomes added in this iteration 38

08-13 00:42 INFO     Iteration 6
08-13 00:43 INFO     Repertoire Metrics
08-13 00:43 INFO     Total quality -178.69922736425815
08-13 00:43 INFO     Max quality -0.057696236028134396
08-13 00:43 INFO     Max quality bin (49, 49)
08-13 00:43 INFO     Min quality -1.786388965156039
08-13 00:43 INFO     Min quality bin (44, 45)
08-13 00:43 INFO     Number of genomes in the container 322
08-13 00:43 INFO     Mean quality -0.5549665446094973

08-13 00:43 INFO     Number of better genomes found in this iteration 11
